i,time
1,79.82198
2,62.27932
3,65.48659
4,21.6367
5,23.14918
6,27.07455
7,37.11843
8,17.30504
9,35.95618
10,19.54469
11,27.94961
12,20.81656
13,21.81051
14,29.33428
15,31.29458
16,17.02452
17,24.46251
18,34.38298
19,35.16976
20,19.17737
21,18.60717
22,28.41188
23,28.4705
24,22.80152
25,36.76071
26,22.42101
27,155.37182
28,31.99892
29,31.40036
30,30.5393
31,153.51972
32,17.07086
33,43.87678
34,25.46867
35,27.5633
36,41.86176
37,51.69324
38,62.65806
39,83.23687
40,20.92903
41,151.50484
42,20.58192
43,44.67328
44,29.24572
45,29.30959
46,28.9225
47,141.04575
48,25.37788
49,40.23145
50,38.35486
51,39.29918
52,22.888
53,23.18759
54,148.97695
55,154.69495
56,32.00622
57,50.27782
58,32.45431
59,51.16163
60,32.97857
61,34.50482
62,146.9053
63,151.84228
64,18.01368
65,41.67462
66,40.6048
67,41.96549
68,26.4539
69,26.29505
70,26.64517
71,139.39965
72,36.28235
73,159.65277
74,36.3957
75,26.34145
76,38.42496
77,36.89255
78,51.39034
79,53.42052
80,20.47903
81,36.13952
82,191.4021
83,260.03044
84,20.27175
85,20.86587
86,45.35704
87,47.6454
88,29.6951
89,47.20404
90,29.65678
91,125.21041
92,30.02817
93,30.54059
94,143.23297
95,148.33184
96,24.30973
97,220.52132
98,67.66854
99,39.83015
100,39.41323
101,38.64904
102,38.59893
103,124.98776
104,24.48835
105,56.7304
106,24.6628
107,263.04784
108,151.81066
109,157.59174
110,152.73485
111,101.85088
112,33.37105
113,23.87031
114,49.73017
115,49.97736
116,33.64095
117,33.85321
118,50.22859
119,50.10079
120,33.20773
121,133.56163
122,32.53559
123,69.89112
124,141.68992
125,146.97494
126,157.70461
127,69.83367
128,19.03279
129,384.59098
130,80.41351
131,77.235
132,44.45825
133,44.25317
134,42.82118
135,63.37426
136,28.26996
137,128.20613
138,28.98022
139,68.39454
140,28.8648
141,29.38655
142,148.66598
143,153.98015
144,38.25538
145,159.94379
146,156.34367
147,160.48983
148,36.56201
149,37.24402
150,27.81455
151,28.16093
152,35.89738
153,55.61394
154,36.52954
155,123.23245
156,53.67007
157,86.02189
158,65.99235
159,76.70524
160,22.51124
161,132.45768
162,36.69514
163,38.07061
164,150.97708
165,154.11205
166,150.31673
167,98.71155
168,22.23821
169,68.23965
170,22.19355
171,168.42758
172,46.96781
173,47.61766
174,46.15144
175,109.20136
176,31.90643
177,46.65093
178,47.08535
179,47.08069
180,31.56361
181,31.40709
182,129.42925
183,133.36508
184,31.14035
185,67.37177
186,30.49078
187,64.73889
188,142.43578
189,145.53114
190,152.54115
191,67.20315
192,25.26227
193,166.63051
194,163.18915
195,165.38494
196,41.37305
197,41.2431
198,41.1772
199,168.76361
200,41.82253
201,31.12652
202,40.45669
203,58.74443
204,40.88363
205,41.63672
206,116.86722
207,120.28909
208,25.44945
209,56.77277
210,57.21306
211,58.23329
212,25.01393
213,24.9449
214,143.18744
215,213.47374
216,207.79951
217,52.39619
218,160.986
219,91.02331
220,152.10919
221,155.86006
222,95.479
223,95.55158
224,34.08553
225,77.77935
226,24.78107
227,25.25331
228,51.40002
229,51.53107
230,50.20263
231,175.80667
232,33.61075
233,118.26211
234,33.65964
235,178.17794
236,50.71151
237,51.8552
238,50.49758
239,75.49543
240,34.79982
241,34.68283
242,127.46536
243,129.5579
244,34.37243
245,34.49381
246,66.12061
247,68.51029
248,148.23703
249,68.25567
250,147.37083
251,95.01093
252,151.82431
253,154.04137
254,64.5031
255,69.10091
256,20.37907
257,164.49256
258,160.98939
259,165.90892
260,44.37767
261,44.5141
262,43.34181
263,106.2092
264,43.13325
265,178.90776
266,43.7413
267,34.51429
268,43.35565
269,44.48399
270,59.98327
271,62.81074
272,28.60811
273,43.65555
274,126.34592
275,129.45387
276,28.79348
277,28.13374
278,61.08273
279,63.31176
280,28.92845
281,60.97679
282,28.79252
283,81.78605
284,136.12669
285,144.32247
286,150.91342
287,64.07046
288,38.9277
289,44.90393
290,159.599
291,164.33563
292,157.0783
293,160.95253
294,157.98723
295,79.17997
296,37.96777
297,104.73235
298,38.72451
299,164.87601
300,28.57515
301,28.94563
302,28.29413
303,62.0993
304,38.86548
305,55.60018
306,54.50313
307,55.56768
308,39.05266
309,39.75699
310,114.41777
311,116.69558
312,52.7889
313,194.83132
314,53.98688
315,55.25402
316,54.31671
317,55.84993
318,79.01512
319,81.08268
320,22.50019
321,38.2916
322,136.47819
323,139.42174
324,37.64921
325,37.7706
326,38.21199
327,217.00234
328,149.55023
329,72.55569
330,147.48077
331,38.37957
332,148.59426
333,151.57673
334,91.80743
335,93.4034
336,23.10104
337,327.15067
338,70.62187
339,74.77471
340,22.58488
341,22.77907
342,167.55261
343,173.74367
344,47.21775
345,172.37536
346,48.91075
347,172.84275
348,49.18198
349,50.03484
350,114.43228
351,118.00716
352,32.1565
353,305.97989
354,48.22391
355,49.63498
356,48.12975
357,48.95997
358,48.43152
359,72.6974
360,31.37915
361,64.82233
362,31.91507
363,66.8819
364,135.23988
365,127.80246
366,124.00577
367,64.83504
368,32.08028
369,32.15009
370,63.3907
371,65.50125
372,31.70933
373,32.38268
374,69.19371
375,66.62259
376,145.88934
377,92.9546
378,144.74651
379,84.8642
380,147.16766
381,205.60154
382,62.47728
383,67.44875
384,26.16187
385,47.18871
386,157.7874
387,162.71585
388,158.25774
389,162.80376
390,158.21315
391,161.92022
392,41.14633
393,82.16797
394,41.22289
395,102.76745
396,41.2295
397,41.34116
398,176.28765
399,187.2302
400,40.55649
401,33.24137
402,31.48884
403,31.89737
404,40.49076
405,41.06467
406,58.4663
407,60.99805
408,40.42665
409,58.97048
410,40.6097
411,193.99398
412,124.20922
413,125.82939
414,121.99508
415,196.78258
416,26.63594
417,200.22352
418,59.097
419,59.76345
420,56.83536
421,60.09661
422,57.10775
423,48.85014
424,26.13187
425,79.52581
426,26.30288
427,75.16366
428,135.35419
429,136.8297
430,136.84691
431,60.90157
432,157.66067
433,42.34643
434,44.69323
435,45.72888
436,161.08099
437,161.47599
438,74.14492
439,76.07495
440,156.17432
441,42.98447
442,156.4718
443,76.66744
444,100.12556
445,103.90412
446,98.33863
447,136.44366
448,36.22699
449,162.31522
450,71.63212
451,73.11296
452,26.58653
453,26.16485
454,26.45388
455,59.57655
456,51.38457
457,172.14035
458,51.12432
459,175.03835
460,51.22747
461,51.90042
462,169.75294
463,174.69691
464,35.87632
465,51.74376
466,112.28821
467,113.27029
468,35.66664
469,35.79884
470,182.40567
471,186.27202
472,51.05991
473,50.91565
474,51.25171
475,41.21543
476,51.46565
477,52.3504
478,74.84673
479,78.88503
480,34.59069
481,71.50549
482,35.96799
483,36.07101
484,133.52323
485,136.57655
486,133.03743
487,223.06528
488,35.35081
489,69.83723
490,35.1862
491,214.16676
492,67.67203
493,71.08657
494,67.84425
495,135.695
496,145.86767
497,35.57509
498,67.33265
499,70.95834
500,144.62721
501,148.89938
502,89.10598
503,90.94234
504,159.31775
505,85.78806
506,156.46906
507,52.86639
508,69.54598
509,72.03558
510,67.59749
511,88.37861
512,20.7004
513,53.2388
514,167.05442
515,169.8906
516,167.47095
517,169.69173
518,164.23073
519,86.75374
520,44.91394
521,168.15241
522,45.97071
523,172.89329
524,45.7181
525,48.20255
526,110.21808
527,115.47162
528,50.99387
529,48.86804
530,170.46655
531,173.7042
532,45.69322
533,46.47124
534,37.90865
535,49.06297
536,61.38285
537,41.68054
538,53.74504
539,85.89611
540,86.76156
541,66.83362
542,61.14992
543,214.79697
544,29.1024
545,63.7513
546,45.28922
547,47.17357
548,121.27802
549,123.85936
550,122.12899
551,62.51052
552,28.74299
553,201.73623
554,29.8155
555,47.93276
556,61.04577
557,61.32836
558,60.25549
559,121.69519
560,29.67449
561,63.43539
562,60.88905
563,62.32004
564,28.69929
565,30.32875
566,87.19116
567,89.07455
568,143.35179
569,81.03394
570,142.61389
571,46.6555
572,145.97213
573,147.7914
574,59.38544
575,62.85298
576,37.70097
577,44.30519
578,45.10967
579,44.89111
580,158.21119
581,159.14752
582,155.98979
583,46.80236
584,157.38207
585,80.33692
586,156.23696
587,159.88583
588,156.70841
589,160.32869
590,78.43793
591,80.99506
592,39.1122
593,99.12949
594,99.1459
595,102.55472
596,38.60828
597,38.53514
598,169.72657
599,172.74209
600,29.74854
601,82.86918
602,29.70052
603,96.76488
604,29.58877
605,29.64464
606,59.45119
607,64.46496
608,38.31871
609,186.62264
610,54.72041
611,57.22456
612,58.68477
613,56.20157
614,54.86124
615,95.94241
616,38.04088
617,183.36291
618,37.6621
619,187.73435
620,120.47677
621,123.90119
622,120.81166
623,187.77127
624,56.04836
625,38.37994
626,193.98696
627,191.38403
628,55.94836
629,57.80978
630,56.92786
631,57.91652
632,54.54607
633,47.0695
634,54.98088
635,46.46461
636,78.56299
637,80.0319
638,76.84859
639,190.15155
640,24.07914
641,73.81217
642,39.15533
643,40.8616
644,131.94758
645,134.53694
646,131.8919
647,58.08639
648,39.07947
649,226.86839
650,39.79445
651,135.2473
652,38.73147
653,40.10725
654,213.32171
655,230.61163
656,152.34073
657,72.33882
658,70.82233
659,74.50992
660,152.941
661,156.07051
662,38.76146
663,40.52977
664,154.01816
665,73.89606
666,152.92028
667,226.63121
668,97.5196
669,101.76878
670,96.28817
671,132.61798
672,24.48095
673,91.65351
674,154.61251
675,159.85496
676,70.42674
677,70.23918
678,69.35181
679,91.34162
680,24.00566
681,88.45662
682,24.27955
683,56.61518
684,167.29554
685,171.20647
686,167.54114
687,56.05339
688,49.48117
689,170.2927
690,167.38963
691,172.43062
692,48.38442
693,50.16874
694,166.05794
695,171.26444
696,48.43894
697,171.87653
698,48.02647
699,90.69355
700,109.36632
701,111.4298
702,108.41425
703,308.23009
704,33.50033
705,49.42923
706,177.97266
707,183.83958
708,48.42507
709,48.89735
710,47.47377
711,93.34054
712,48.9012
713,38.60154
714,48.17943
715,40.76492
716,48.67467
717,49.01062
718,73.88895
719,76.66987
720,33.57989
721,66.45049
722,66.9219
723,68.67652
724,34.19253
725,33.58458
726,64.86616
727,67.49866
728,131.29201
729,48.8177
730,132.17894
731,220.86456
732,132.02826
733,135.49911
734,66.0072
735,69.08808
736,32.46702
737,211.37813
738,33.49517
739,33.59836
740,64.8831
741,67.48413
742,66.0787
743,132.52291
744,32.55927
745,124.92404
746,32.9573
747,70.15001
748,65.16609
749,66.31063
750,64.50708
751,218.9856
752,142.47539
753,33.22601
754,86.14542
755,88.14018
756,141.54745
757,143.60153
758,80.4579
759,88.49152
760,162.04134
761,49.43519
762,156.22894
763,271.18573
764,67.0416
765,69.92942
766,64.786
767,84.80021
768,27.70171
769,51.12258
770,49.40544
771,51.24728
772,164.70114
773,167.53636
774,162.58946
775,253.34798
776,162.44951
777,48.66459
778,164.38948
779,84.37376
780,162.40752
781,167.978
782,164.13227
783,168.19948
784,43.12348
785,166.69142
786,82.49406
787,85.24681
788,42.94529
789,43.25775
790,109.74952
791,111.58695
792,42.60112
793,110.09301
794,42.97294
795,141.65186
796,165.90007
797,170.65321
798,166.30464
799,102.96129
800,44.28435
801,81.35311
802,33.14246
803,34.37047
804,33.555
805,33.1291
806,33.55389
807,99.5624
808,42.90612
809,64.41034
810,43.66956
811,200.99124
812,59.04623
813,60.02816
814,58.61189
815,199.18339
816,43.66127
817,60.96697
818,58.99757
819,61.06766
820,43.40962
821,44.2377
822,190.43733
823,201.06348
824,119.38876
825,200.43347
826,119.82367
827,60.18673
828,120.05008
829,121.37059
830,195.22503
831,200.28637
832,27.77004
833,43.60948
834,202.44734
835,206.51848
836,59.30459
837,59.60752
838,58.49643
839,117.76376
840,61.02787
841,58.69106
842,59.20741
843,60.45916
844,59.35022
845,60.87197
846,49.5198
847,51.66819
848,26.91804
849,83.37329
850,84.23167
851,87.24546
852,27.01005
853,26.93864
854,77.27603
855,79.23371
856,141.15788
857,43.87468
858,141.51396
859,245.22785
860,141.13
861,146.16778
862,57.56305
863,60.46495
864,152.64649
865,243.26898
866,42.62383
867,43.60111
868,42.4346
869,42.17808
870,42.4147
871,332.57838
872,151.65658
873,239.15665
874,151.16818
875,44.29349
876,78.42895
877,77.75564
878,74.60127
879,235.12414
880,151.7891
881,158.59738
882,42.54495
883,43.68862
884,153.83107
885,156.94369
886,74.81432
887,78.25942
888,97.05427
889,247.80108
890,95.84896
891,71.97582
892,184.84035
893,99.48594
894,129.91085
895,133.51269
896,35.30167
897,93.10819
898,166.77342
899,170.81545
900,77.15102
901,80.30421
902,76.66439
903,168.74143
904,27.49826
905,94.29962
906,26.98132
907,76.3989
908,27.65176
909,27.44243
910,59.70274
911,62.03891
912,52.47718
913,177.69314
914,192.43903
915,287.84935
916,53.27513
917,54.06665
918,173.56267
919,176.63685
920,52.2805
921,177.24193
922,52.56203
923,93.25774
924,173.62359
925,275.22822
926,175.5508
927,160.12453
928,36.95076
929,177.38822
930,54.1484
931,55.12662
932,119.35192
933,119.58245
934,117.02088
935,178.24595
936,36.13551
937,307.38979
938,36.33582
939,126.55998
940,176.65
941,186.50909
942,186.80329
943,79.96464
944,92.87273
945,54.33196
946,53.83537
947,55.60476
948,53.03638
949,58.33452
950,43.92751
951,45.65688
952,52.54123
953,42.99504
954,53.04076
955,43.30961
956,74.18522
957,76.1962
958,73.94029
959,180.48386
960,37.30026
961,71.41784
962,68.05002
963,70.71824
964,36.02821
965,36.73626
966,35.84899
967,234.7245
968,129.7661
969,70.80087
970,130.07233
971,55.80684
972,129.65491
973,131.94701
974,332.34985
975,239.58913
976,36.90994
977,131.54044
978,69.30866
979,70.34879
980,37.06774
981,37.3794
982,212.10884
983,222.64502
984,69.94573
985,36.87826
986,69.07211
987,54.18856
988,69.20182
989,143.01387
990,133.51881
991,134.53831
992,150.93771
993,128.44226
994,36.58235
995,37.24848
996,69.01244
997,70.893
998,68.68881
999,76.58934
1000,150.17621
