i,time
1,1813
2,436
3,625
4,269
5,486
6,651
7,982
8,340
9,1260
10,521
11,970
12,676
13,709
14,1906
15,1149
16,347
17,801
18,1289
19,1269
20,562
21,581
22,1008
23,5969
24,934
25,1522
26,774
27,6859
28,1079
29,1175
30,1322
31,5041
32,230
33,552
34,464
35,383
36,367
37,348
38,320
39,490
40,241
41,1330
42,380
43,579
44,404
45,325
46,286
47,1180
48,330
49,367
50,352
51,345
52,262
53,264
54,1092
55,1019
56,468
57,610
58,498
59,630
60,500
61,460
62,1564
63,1994
64,265
65,456
66,419
67,376
68,341
69,341
70,268
71,1196
72,360
73,1338
74,330
75,329
76,372
77,361
78,544
79,509
80,275
81,846
82,1077
83,986
84,276
85,299
86,619
87,590
88,497
89,657
90,426
91,871
92,363
93,412
94,1298
95,1121
96,318
97,1189
98,385
99,376
100,412
101,327
102,360
103,866
104,284
105,512
106,267
107,920
108,1030
109,1026
110,952
111,691
112,350
113,304
114,452
115,438
116,328
117,357
118,485
119,423
120,328
121,945
122,364
123,651
124,1007
125,966
126,964
127,12614
128,340
129,1779
130,513
131,680
132,557
133,539
134,443
135,667
136,389
137,1243
138,355
139,739
140,432
141,404
142,1199
143,7999
144,364
145,1821
146,1778
147,1668
148,339
149,363
150,290
151,275
152,353
153,588
154,338
155,868
156,473
157,482
158,418
159,731
160,222
161,1050
162,385
163,1239
164,1124
165,971
166,904
167,615
168,251
169,606
170,244
171,1554
172,567
173,521
174,494
175,1010
176,272
177,3249
178,195
179,198
180,172
181,133
182,526
183,468
184,299
185,417
186,230
187,414
188,755
189,637
190,731
191,371
192,239
193,861
194,800
195,733
196,285
197,295
198,273
199,794
200,282
201,219
202,439
203,398
204,227
205,248
206,493
207,392
208,183
209,279
210,232
211,220
212,155
213,125
214,520
215,461
216,574
217,223
218,524
219,349
220,459
221,410
222,307
223,319
224,131
225,260
226,137
227,111
228,177
229,157
230,155
231,636
232,151
233,369
234,164
235,550
236,192
237,191
238,192
239,245
240,172
241,153
242,369
243,363
244,130
245,140
246,264
247,275
248,449
249,247
250,402
251,256
252,438
253,540
254,336
255,400
256,227
257,741
258,619
259,799
260,303
261,311
262,332
263,476
264,303
265,652
266,247
267,202
268,252
269,274
270,387
271,351
272,225
273,222
274,625
275,608
276,203
277,209
278,307
279,259
280,174
281,237
282,143
283,288
284,430
285,368
286,368
287,244
288,150
289,183
290,550
291,452
292,446
293,404
294,384
295,286
296,164
297,347
298,165
299,454
300,150
301,136
302,135
303,203
304,136
305,195
306,185
307,165
308,132
309,130
310,336
311,389
312,183
313,513
314,211
315,194
316,155
317,183
318,250
319,244
320,120
321,166
322,369
323,362
324,143
325,140
326,155
327,528
328,474
329,299
330,432
331,160
332,421
333,396
334,246
335,313
336,121
337,397
338,264
339,237
340,105
341,121
342,493
343,426
344,159
345,435
346,185
347,519
348,197
349,152
350,306
351,319
352,164
353,526
354,197
355,149
356,162
357,176
358,167
359,259
360,145
361,284
362,158
363,258
364,366
365,372
366,374
367,259
368,143
369,162
370,265
371,250
372,158
373,169
374,281
375,271
376,442
377,289
378,428
379,328
380,454
381,461
382,259
383,247
384,282
385,330
386,773
387,614
388,742
389,726
390,612
391,641
392,288
393,472
394,289
395,540
396,313
397,293
398,643
399,498
400,290
401,239
402,257
403,229
404,224
405,208
406,370
407,307
408,235
409,352
410,197
411,845
412,618
413,594
414,535
415,718
416,224
417,777
418,375
419,334
420,352
421,315
422,291
423,260
424,241
425,339
426,150
427,551
428,648
429,587
430,598
431,339
432,746
433,236
434,277
435,256
436,666
437,647
438,403
439,322
440,429
441,172
442,348
443,282
444,306
445,240
446,290
447,461
448,154
449,442
450,243
451,218
452,124
453,129
454,118
455,199
456,146
457,596
458,174
459,566
460,159
461,164
462,469
463,391
464,147
465,189
466,250
467,267
468,141
469,115
470,406
471,422
472,180
473,190
474,154
475,158
476,159
477,154
478,202
479,210
480,135
481,243
482,135
483,118
484,339
485,316
486,283
487,484
488,135
489,268
490,138
491,445
492,244
493,202
494,203
495,395
496,388
497,147
498,246
499,205
500,350
501,324
502,228
503,252
504,355
505,310
506,342
507,187
508,248
509,190
510,179
511,264
512,114
513,380
514,816
515,641
516,693
517,585
518,538
519,529
520,265
521,612
522,281
523,539
524,274
525,308
526,530
527,441
528,362
529,241
530,700
531,543
532,213
533,198
534,119
535,178
536,241
537,232
538,194
539,350
540,345
541,295
542,293
543,872
544,211
545,317
546,240
547,247
548,565
549,502
550,470
551,304
552,155
553,715
554,175
555,225
556,348
557,305
558,292
559,610
560,190
561,299
562,333
563,272
564,189
565,153
566,403
567,393
568,620
569,364
570,556
571,211
572,642
573,540
574,269
575,327
576,155
577,173
578,206
579,220
580,753
581,517
582,529
583,224
584,459
585,380
586,460
587,463
588,458
589,521
590,419
591,312
592,216
593,304
594,364
595,340
596,209
597,217
598,551
599,480
600,153
601,403
602,143
603,433
604,204
605,174
606,264
607,289
608,211
609,784
610,306
611,220
612,211
613,182
614,215
615,451
